Sample,total_n,non_empty,lower_cutoff
Br2720_mid,1152093,3743,245
Br2720_post,922885,5950,299
Br2743_ant,655424,3198,219
Br2743_mid,1495673,3426,239
Br3942_ant,1692299,6269,356
Br3942_mid,2209670,4309,557
Br6423_ant,1521781,3999,506
Br6423_post,1786747,4067,605
Br6432_ant,736110,3432,219
Br6471_ant,1148322,3622,295
Br6471_mid,1653348,5352,390
Br6522_mid,604278,4035,847
Br6522_post,681586,4295,910
Br8325_ant,1855444,5951,455
Br8325_mid,2192531,4990,615
Br8492_mid,1302254,5189,338
Br8492_post,965917,2989,258
Br8667_ant,1875106,5806,413
Br8667_mid,2154338,4134,618
